,class,probs
12503,d,0.5
12504,d,0.55
12505,c,0.57
12506,a,0.59
12507,c,0.51
12508,d,0.49
12509,b,0.67
12510,c,0.48
12511,c,0.55
12512,a,0.47
12513,c,0.57
12514,d,0.5
12515,c,0.51
12516,c,0.55
12517,d,0.48
12518,b,0.52
12519,c,0.59
12520,c,0.5
12521,a,0.53
12522,d,0.51
12523,d,0.51
12524,c,0.49
12525,c,0.51
12526,c,0.51
12527,a,0.53
12528,b,0.51
12529,c,0.53
12530,c,0.52
12531,c,0.57
12532,b,0.54
12533,c,0.54
12534,d,0.53
12535,d,0.73
12536,c,0.83
12537,b,0.51
12538,c,0.51
12539,d,0.51
12540,c,0.5
12541,a,0.53
12542,d,0.52
12543,c,0.52
12544,c,0.5
12545,c,0.54
12546,c,0.62
12547,c,0.53
12548,c,0.52
12549,b,0.51
12550,b,0.54
12551,b,0.54
12552,a,0.56
12553,b,0.55
12554,b,0.51
12555,b,0.55
12556,c,0.53
12557,d,0.55
12558,c,0.53
12559,b,0.5
12560,d,0.49
12561,d,0.56
12562,b,0.51
12563,b,0.45
12564,b,0.56
12565,c,0.54
12566,b,0.61
12567,a,0.53
12568,a,0.5
12569,b,0.49
12570,c,0.54
12571,d,0.54
12572,d,0.56
12573,d,0.48
12574,c,0.5
12575,a,0.59
12576,a,0.57
12577,a,0.45
12578,a,0.53
12579,a,0.52
12580,a,0.52
12581,c,0.79
12582,a,0.51
12583,a,0.43
12584,b,0.52
12585,a,0.52
12586,b,0.54
12587,c,0.56
12588,b,0.53
12589,b,0.51
12590,d,0.53
12591,c,0.5
12592,d,0.55
12593,b,0.55
12594,c,0.56
12595,b,0.51
12596,c,0.48
12597,b,0.57
12598,d,0.55
12599,c,0.52
12600,d,0.56
12601,c,0.47
12602,d,0.55
12603,d,0.63
12604,d,0.5
12605,b,0.56
12606,b,0.58
12607,b,0.59
12608,b,0.5
12609,c,0.55
12610,c,0.54
12611,d,0.52
12612,d,0.54
12613,d,0.59
12614,d,0.63
12615,b,0.79
12616,d,0.51
12617,c,0.59
12618,b,0.55
12619,c,0.52
12620,a,0.53
12621,c,0.53
12622,a,0.52
12623,d,0.52
12624,c,0.57
12625,c,0.49
12626,d,0.59
12627,d,0.52
12628,a,0.51
12629,a,0.49
12630,c,0.52
12631,a,0.47
12632,b,0.55
12633,a,0.58
12634,d,0.55
12635,d,0.51
12636,d,0.55
12637,c,0.55
12638,a,0.52
12639,b,0.56
12640,c,0.44
12641,b,0.62
12642,b,0.56
12643,c,0.54
12644,b,0.49
12645,d,0.57
12646,a,0.51
12647,c,0.5
12648,a,0.54
12649,a,0.43
12650,b,0.42
12651,b,0.52
12652,a,0.54
12653,d,0.51
12654,c,0.45
12655,b,0.53
12656,a,0.52
12657,a,0.47
12658,d,0.56
12659,c,0.56
12660,d,0.56
12661,d,0.55
12662,a,0.54
12663,c,0.53
12664,c,0.56
12665,c,0.55
12666,d,0.58
12667,a,0.54
12668,b,0.53
12669,c,0.57
12670,a,0.5
12671,a,0.52
12672,b,0.55
12673,c,0.54
12674,b,0.51
12675,d,0.58
12676,b,0.55
12677,d,0.54
12678,d,0.46
12679,a,0.51
12680,a,0.54
12681,c,0.52
12682,a,0.59
12683,a,0.54
12684,c,0.54
12685,c,0.57
12686,d,0.44
12687,b,0.44
12688,c,0.55
12689,c,0.49
12690,b,0.5
12691,b,0.53
12692,a,0.54
12693,a,0.43
12694,d,0.57
12695,d,0.52
12696,d,0.57
12697,b,0.58
12698,a,0.52
12699,b,0.54
12700,a,0.52
12701,a,0.55
12702,a,0.48
12703,d,0.5
12704,c,0.51
12705,b,0.47
12706,b,0.54
12707,b,0.54
12708,a,0.47
12709,c,0.5
12710,b,0.48
12711,d,0.53
12712,a,0.61
12713,a,0.56
12714,a,0.51
12715,c,0.54
12716,a,0.5
12717,c,0.53
12718,b,0.51
12719,b,0.51
12720,a,0.54
12721,b,0.52
12722,c,0.53
12723,b,0.55
12724,d,0.53
12725,a,0.54
12726,a,0.54
12727,c,0.48
12728,c,0.54
12729,b,0.61
12730,b,0.55
12731,a,0.53
12732,a,0.54
12733,c,0.57
12734,c,0.58
12735,c,0.56
12736,a,0.66
12737,c,0.53
12738,b,0.54
12739,c,0.51
12740,d,0.57
12741,d,0.52
12742,d,0.59
12743,b,0.52
12744,d,0.55
12745,b,0.52
12746,c,0.52
12747,d,0.47
12748,d,0.48
12749,c,0.52
12750,c,0.54
12751,b,0.58
12752,c,0.54
12753,c,0.48
12754,a,0.53
12755,c,0.54
12756,c,0.57
12757,d,0.57
12758,a,0.5
12759,d,0.58
12760,a,0.54
12761,b,0.54
12762,d,0.49
12763,a,0.52
12764,d,0.48
12765,a,0.5
12766,c,0.54
12767,a,0.5
12768,c,0.52
12769,a,0.54
12770,a,0.46
12771,d,0.54
12772,c,0.5
12773,a,0.52
12774,d,0.52
12775,d,0.55
12776,a,0.51
12777,d,0.45
12778,c,0.64
12779,b,0.82
12780,c,0.53
12781,a,0.51
12782,a,0.54
12783,d,0.62
12784,b,0.54
12785,d,0.56
12786,c,0.49
12787,c,0.55
12788,d,0.53
12789,d,0.56
12790,c,0.52
12791,c,0.56
12792,c,0.61
12793,b,0.52
12794,d,0.52
12795,b,0.59
12796,d,0.63
12797,d,0.52
12798,a,0.48
12799,b,0.54
12800,c,0.57
12801,c,0.48
12802,a,0.47
12803,c,0.58
12804,b,0.5
12805,d,0.55
12806,d,0.5
12807,c,0.49
12808,d,0.54
12809,d,0.54
12810,a,0.55
12811,b,0.45
12812,c,0.49
12813,b,0.55
12814,a,0.58
12815,c,0.49
12816,b,0.5
12817,b,0.58
12818,c,0.51
12819,c,0.54
12820,d,0.53
12821,a,0.5
12822,c,0.56
12823,b,0.54
12824,d,0.55
12825,b,0.54
12826,a,0.51
12827,c,0.5
12828,d,0.54
12829,c,0.53
12830,b,0.55
12831,d,0.5
12832,b,0.57
12833,c,0.48
12834,c,0.56
12835,d,0.45
12836,d,0.54
12837,b,0.54
12838,d,0.53
12839,b,0.53
12840,a,0.54
12841,c,0.53
12842,b,0.6
12843,a,0.5
12844,c,0.52
12845,b,0.51
12846,a,0.55
12847,c,0.56
12848,a,0.51
12849,b,0.52
12850,c,0.52
12851,b,0.49
12852,d,0.54
12853,b,0.57
12854,c,0.51
12855,b,0.51
12856,a,0.59
12857,b,0.57
12858,b,0.55
12859,d,0.57
12860,a,0.53
12861,a,0.5
12862,d,0.6
12863,a,0.55
12864,b,0.55
12865,b,0.54
12866,a,0.5
12867,a,0.57
12868,c,0.52
12869,b,0.53
12870,c,0.59
12871,d,0.55
12872,c,0.53
12873,b,0.53
12874,b,0.53
12875,b,0.55
12876,d,0.62
12877,c,0.49
12878,b,0.5
12879,c,0.51
12880,a,0.54
12881,b,0.51
12882,b,0.52
12883,a,0.45
12884,b,0.57
12885,c,0.55
12886,a,0.53
12887,d,0.5
12888,c,0.51
12889,b,0.49
12890,a,0.53
12891,d,0.56
12892,d,0.58
12893,d,0.55
12894,c,0.54
12895,a,0.46
12896,d,0.51
12897,a,0.49
12898,b,0.5
12899,c,0.53
12900,a,0.52
12901,c,0.51
12902,b,0.46
12903,d,0.52
12904,a,0.54
12905,d,0.55
12906,d,0.48
12907,b,0.57
12908,c,0.48
12909,c,0.55
12910,c,0.54
12911,c,0.59
12912,b,0.46
12913,b,0.57
12914,b,0.5
12915,a,0.6
12916,c,0.55
12917,c,0.59
12918,a,0.53
12919,a,0.56
12920,a,0.5
12921,d,0.55
12922,a,0.51
12923,c,0.53
12924,d,0.61
12925,c,0.59
12926,b,0.62
12927,d,0.55
12928,c,0.52
12929,b,0.52
12930,d,0.54
12931,d,0.54
12932,d,0.56
12933,a,0.47
12934,c,0.53
12935,c,0.52
12936,c,0.52
12937,c,0.49
12938,c,0.56
12939,d,0.63
12940,c,0.49
12941,d,0.54
12942,b,0.51
12943,d,0.47
12944,a,0.52
12945,d,0.41
12946,d,0.56
12947,d,0.65
12948,d,0.51
12949,c,0.51
12950,b,0.47
12951,c,0.56
12952,a,0.51
12953,c,0.49
12954,d,0.52
12955,b,0.53
12956,c,0.55
12957,d,0.55
12958,c,0.7
12959,d,0.58
12960,b,0.54
12961,a,0.54
12962,a,0.54
12963,b,0.52
12964,b,0.56
12965,b,0.6
12966,b,0.57
12967,c,0.56
12968,b,0.55
12969,a,0.53
12970,b,0.49
12971,b,0.63
12972,a,0.54
12973,a,0.55
12974,b,0.52
12975,c,0.44
12976,b,0.56
12977,c,0.51
12978,b,0.54
12979,b,0.56
12980,d,0.54
12981,d,0.53
12982,b,0.46
12983,b,0.54
12984,a,0.67
12985,c,0.63
12986,d,0.5
12987,b,0.54
12988,d,0.53
12989,d,0.44
12990,b,0.67
12991,a,0.52
12992,d,0.52
12993,b,0.62
12994,b,0.53
12995,d,0.51
12996,d,0.56
12997,b,0.51
12998,b,0.57
12999,a,0.55
13000,d,0.57
13001,a,0.56
13002,a,0.62
13003,d,0.54
13004,c,0.55
13005,b,0.51
13006,c,0.52
13007,c,0.52
13008,a,0.53
13009,a,0.57
13010,a,0.54
13011,a,0.52
13012,d,0.46
13013,d,0.53
13014,b,0.45
13015,b,0.52
13016,b,0.53
13017,b,0.55
13018,c,0.67
13019,b,0.54
13020,a,0.48
13021,d,0.52
13022,a,0.55
13023,b,0.5
13024,b,0.46
13025,c,0.68
13026,c,0.48
13027,c,0.48
13028,b,0.5
13029,a,0.57
13030,a,0.53
13031,d,0.59
13032,c,0.55
13033,d,0.57
13034,d,0.48
13035,a,0.63
13036,c,0.57
13037,d,0.56
13038,b,0.51
13039,c,0.46
13040,d,0.52
13041,c,0.5
13042,c,0.59
13043,c,0.5
13044,b,0.5
13045,b,0.54
13046,b,0.52
13047,b,0.55
13048,b,0.53
13049,d,0.55
13050,a,0.5
13051,b,0.56
13052,b,0.46
13053,d,0.52
13054,d,0.45
13055,b,0.5
13056,a,0.5
13057,d,0.49
13058,b,0.45
13059,a,0.49
13060,c,0.58
13061,d,0.47
13062,c,0.56
13063,c,0.5
13064,c,0.53
13065,c,0.47
13066,a,0.56
13067,c,0.46
13068,c,0.52
13069,a,0.52
13070,c,0.54
13071,c,0.51
13072,a,0.55
13073,d,0.57
13074,d,0.56
13075,d,0.61
13076,a,0.56
13077,c,0.52
13078,d,0.67
13079,a,0.53
13080,c,0.6
13081,b,0.52
13082,d,0.51
13083,a,0.63
13084,b,0.44
13085,b,0.48
13086,b,0.52
13087,b,0.61
13088,a,0.56
13089,c,0.59
13090,a,0.49
13091,c,0.54
13092,c,0.5
13093,b,0.55
13094,a,0.54
13095,a,0.46
13096,a,0.55
13097,a,0.46
13098,b,0.47
13099,d,0.83
13100,a,0.5
13101,a,0.55
13102,b,0.56
13103,a,0.57
13104,b,0.45
13105,c,0.48
13106,d,0.44
13107,a,0.51
13108,b,0.53
13109,a,0.55
13110,a,0.48
13111,d,0.47
13112,a,0.5
13113,d,0.6
13114,b,0.58
13115,d,0.53
13116,d,0.6
13117,d,0.5
13118,b,0.5
13119,b,0.43
13120,d,0.56
13121,a,0.51
13122,b,0.59
13123,b,0.4
13124,b,0.47
13125,d,0.53
13126,a,0.51
13127,c,0.54
13128,d,0.46
13129,a,0.44
13130,a,0.46
13131,d,0.51
13132,a,0.6
13133,c,0.64
13134,c,0.51
13135,a,0.61
13136,c,0.54
13137,b,0.47
13138,c,0.55
13139,b,0.59
13140,b,0.48
13141,d,0.55
13142,d,0.54
13143,b,0.5
13144,a,0.53
13145,a,0.48
13146,c,0.55
13147,b,0.58
13148,b,0.54
13149,d,0.53
13150,b,0.45
13151,d,0.5
13152,b,0.83
13153,b,0.53
13154,b,0.48
13155,b,0.53
13156,c,0.54
13157,c,0.53
13158,d,0.55
13159,c,0.57
13160,c,0.5
13161,a,0.47
13162,c,0.65
13163,c,0.6
13164,c,0.5
13165,b,0.53
13166,d,0.43
13167,a,0.49
13168,a,0.53
13169,b,0.55
13170,d,0.53
13171,a,0.57
13172,a,0.56
13173,a,0.49
13174,c,0.5
13175,b,0.63
13176,d,0.59
13177,a,0.48
13178,a,0.78
13179,b,0.49
13180,d,0.56
13181,a,0.58
13182,d,0.55
13183,c,0.61
13184,a,0.49
13185,c,0.55
13186,d,0.52
13187,a,0.51
13188,b,0.48
13189,b,0.55
13190,c,0.55
13191,b,0.47
13192,a,0.55
13193,c,0.82
13194,d,0.51
13195,b,0.54
13196,c,0.84
13197,b,0.54
13198,a,0.64
13199,a,0.57
13200,d,0.79
13201,b,0.59
13202,d,0.44
13203,d,0.53
13204,c,0.57
13205,d,0.54
13206,d,0.55
13207,a,0.46
13208,d,0.49
13209,c,0.56
13210,d,0.45
13211,a,0.46
13212,c,0.58
13213,a,0.66
13214,a,0.58
13215,c,0.51
13216,a,0.56
13217,d,0.51
13218,b,0.51
13219,b,0.54
13220,a,0.48
13221,b,0.53
13222,c,0.52
13223,c,0.46
13224,c,0.47
13225,a,0.47
13226,d,0.54
13227,a,0.56
13228,a,0.51
13229,c,0.69
13230,b,0.39
13231,d,0.57
13232,b,0.63
13233,d,0.6
13234,d,0.47
13235,a,0.47
13236,c,0.56
13237,a,0.56
13238,b,0.55
13239,c,0.48
13240,d,0.62
13241,b,0.55
13242,c,0.48
13243,c,0.55
13244,d,0.55
13245,b,0.54
13246,a,0.51
13247,c,0.54
13248,b,0.54
13249,a,0.5
13250,c,0.57
13251,b,0.55
13252,b,0.56
13253,a,0.54
13254,c,0.58
13255,c,0.52
13256,d,0.51
13257,a,0.62
13258,b,0.57
13259,b,0.52
13260,d,0.48
13261,d,0.52
13262,d,0.46
13263,d,0.5
13264,a,0.52
13265,b,0.51
13266,b,0.53
13267,c,0.47
13268,d,0.6
13269,d,0.5
13270,d,0.45
13271,d,0.68
13272,c,0.52
13273,b,0.49
13274,b,0.44
13275,a,0.5
13276,c,0.5
13277,c,0.46
13278,d,0.5
13279,d,0.53
13280,b,0.55
13281,d,0.45
13282,b,0.54
13283,c,0.53
13284,d,0.53
13285,a,0.51
13286,d,0.59
13287,d,0.42
13288,d,0.51
13289,b,0.58
13290,c,0.57
13291,d,0.53
13292,c,0.53
13293,a,0.48
13294,c,0.46
13295,b,0.47
13296,b,0.56
13297,c,0.57
13298,b,0.55
13299,c,0.51
13300,a,0.57
13301,b,0.5
13302,d,0.5
13303,d,0.59
13304,a,0.63
13305,a,0.53
13306,b,0.54
13307,c,0.52
13308,c,0.47
13309,a,0.52
13310,a,0.44
13311,b,0.52
13312,c,0.48
13313,d,0.5
13314,d,0.55
13315,d,0.81
13316,b,0.52
13317,d,0.58
13318,c,0.61
13319,b,0.58
13320,c,0.52
13321,d,0.59
13322,c,0.52
13323,a,0.53
13324,b,0.46
13325,b,0.6
13326,d,0.6
13327,a,0.44
13328,c,0.56
13329,c,0.5
13330,d,0.5
13331,c,0.53
13332,b,0.6
13333,c,0.55
13334,b,0.58
13335,b,0.58
13336,c,0.56
13337,d,0.52
13338,c,0.55
13339,d,0.53
13340,d,0.65
13341,a,0.54
13342,a,0.47
13343,d,0.52
13344,c,0.48
13345,c,0.5
13346,a,0.52
13347,c,0.55
13348,b,0.58
13349,d,0.54
13350,d,0.46
13351,a,0.59
13352,b,0.56
13353,c,0.67
13354,b,0.47
13355,b,0.51
13356,d,0.56
13357,a,0.48
13358,a,0.56
13359,c,0.5
13360,c,0.6
13361,b,0.52
13362,a,0.61
13363,a,0.54
13364,b,0.55
13365,a,0.53
13366,a,0.48
13367,b,0.58
13368,d,0.74
13369,a,0.49
13370,d,0.6
13371,c,0.51
13372,d,0.56
13373,c,0.59
13374,a,0.57
13375,a,0.55
13376,a,0.6
13377,a,0.57
13378,b,0.53
13379,b,0.63
13380,d,0.49
13381,b,0.52
13382,d,0.64
13383,d,0.53
13384,a,0.54
13385,c,0.52
13386,a,0.44
13387,a,0.47
13388,a,0.45
13389,a,0.5
13390,a,0.53
13391,c,0.57
13392,d,0.55
13393,a,0.54
13394,c,0.49
13395,a,0.43
13396,c,0.54
13397,b,0.48
13398,c,0.55
13399,d,0.53
13400,c,0.54
13401,a,0.64
13402,d,0.48
13403,c,0.53
13404,d,0.66
13405,d,0.53
13406,d,0.55
13407,a,0.5
13408,d,0.57
13409,a,0.63
13410,d,0.49
13411,c,0.48
13412,b,0.46
13413,d,0.56
13414,c,0.54
13415,d,0.47
13416,b,0.54
13417,b,0.6
13418,d,0.52
13419,a,0.48
13420,c,0.43
13421,d,0.67
13422,d,0.52
13423,b,0.54
13424,a,0.46
13425,b,0.55
13426,a,0.43
13427,d,0.51
13428,b,0.58
13429,b,0.57
13430,c,0.54
13431,b,0.56
13432,c,0.56
13433,a,0.65
13434,d,0.55
13435,d,0.58
13436,a,0.52
13437,b,0.55
13438,b,0.56
13439,a,0.63
13440,b,0.77
13441,a,0.58
13442,d,0.5
13443,b,0.52
13444,c,0.62
13445,a,0.47
13446,a,0.61
13447,c,0.58
13448,c,0.46
13449,d,0.52
13450,a,0.54
13451,b,0.57
13452,d,0.47
13453,a,0.66
13454,c,0.52
13455,d,0.49
13456,b,1.0
13457,a,0.54
13458,c,0.66
13459,a,0.54
13460,b,0.53
13461,b,0.44
13462,c,0.56
13463,c,0.5
13464,a,0.56
13465,b,0.59
13466,b,0.57
13467,a,0.49
13468,b,0.52
13469,d,0.51
13470,a,0.55
13471,b,0.57
13472,a,0.54
13473,b,0.59
13474,d,0.44
13475,b,0.56
13476,a,0.51
13477,c,0.54
13478,a,0.51
13479,b,0.49
13480,a,0.51
13481,c,0.53
13482,c,0.49
13483,d,0.52
13484,c,0.56
13485,b,0.46
13486,b,0.51
13487,c,0.54
13488,c,0.54
13489,d,0.46
13490,b,0.56
13491,b,0.53
13492,a,0.57
13493,d,0.59
13494,c,0.54
13495,b,0.57
13496,d,0.6
13497,c,0.51
13498,d,0.72
13499,a,0.54
13500,b,0.56
13501,b,0.48
13502,a,0.56
13503,d,0.57
13504,c,0.46
13505,a,0.53
13506,d,0.55
13507,b,0.48
13508,c,0.47
13509,d,0.54
13510,a,0.52
13511,d,0.46
13512,b,0.48
13513,a,0.59
13514,d,0.47
13515,d,0.58
13516,c,0.55
13517,c,0.5
13518,a,0.5
13519,d,0.55
13520,d,0.51
13521,b,0.53
13522,c,0.54
13523,a,0.52
13524,d,0.52
13525,b,0.51
13526,b,0.48
13527,d,0.59
13528,c,0.48
13529,a,0.5
13530,c,0.58
13531,a,0.56
13532,c,0.48
13533,a,0.5
13534,c,0.54
13535,b,0.59
13536,c,0.59
13537,c,0.66
13538,c,0.49
13539,b,0.44
13540,a,0.51
13541,a,0.62
13542,a,0.61
13543,c,0.52
13544,c,0.39
13545,c,0.56
13546,d,0.52
13547,d,0.48
13548,a,0.46
13549,a,0.49
13550,a,0.63
13551,a,0.52
13552,a,0.51
13553,c,0.5
13554,b,0.53
13555,b,0.58
13556,c,0.58
13557,b,0.65
13558,d,0.57
13559,d,0.48
13560,d,0.57
13561,c,0.55
13562,c,0.51
13563,c,0.52
13564,b,0.54
13565,a,0.56
13566,b,0.89
13567,c,0.51
13568,d,0.47
13569,c,0.62
13570,c,0.62
13571,a,0.51
13572,b,0.51
13573,b,0.54
13574,b,0.5
13575,a,0.53
13576,a,0.57
13577,d,0.56
13578,c,0.56
13579,a,0.6
13580,c,0.54
13581,c,0.57
13582,c,0.47
13583,b,0.53
13584,c,0.53
13585,a,0.45
13586,b,0.46
13587,a,0.54
13588,c,0.54
13589,c,0.54
13590,c,0.53
13591,b,0.49
13592,c,0.49
13593,c,0.47
13594,c,0.55
13595,d,0.48
13596,b,0.49
13597,d,0.5
13598,a,0.48
13599,c,0.54
13600,a,0.53
13601,c,0.57
13602,d,0.63
13603,b,0.61
13604,b,0.52
13605,d,0.58
13606,d,0.51
13607,c,0.6
13608,b,0.47
13609,c,0.63
13610,b,0.54
13611,b,0.58
13612,a,0.49
13613,c,0.47
13614,d,0.44
13615,b,0.5
13616,d,0.42
13617,b,0.54
13618,b,0.56
13619,d,0.53
13620,b,0.46
13621,d,0.56
13622,d,0.57
13623,c,0.42
13624,b,0.54
13625,b,0.54
13626,c,0.57
13627,b,0.54
13628,c,0.53
13629,a,0.5
13630,c,0.51
13631,d,0.54
13632,c,0.64
13633,c,0.56
13634,c,0.47
13635,d,0.56
13636,a,0.46
13637,c,0.56
13638,b,0.52
13639,c,0.6
13640,b,0.56
13641,c,0.49
13642,a,0.46
13643,b,0.64
13644,d,0.5
13645,d,0.63
13646,b,0.54
13647,c,0.48
13648,b,0.55
13649,a,0.54
13650,b,0.52
13651,b,0.57
13652,b,0.44
13653,b,0.59
13654,d,0.43
13655,b,0.52
13656,a,0.49
13657,d,0.45
13658,b,0.53
13659,d,0.57
13660,b,0.46
13661,b,0.55
13662,b,0.52
13663,a,0.5
13664,c,0.58
13665,c,0.51
13666,d,0.66
13667,c,0.5
13668,d,0.53
13669,b,0.53
13670,b,0.55
13671,a,0.49
13672,d,0.61
13673,d,0.57
13674,c,0.47
13675,b,0.47
13676,c,0.57
13677,c,0.55
13678,b,0.56
13679,b,0.5
13680,d,0.55
13681,b,0.53
13682,a,0.47
13683,a,0.47
13684,a,0.58
13685,a,0.55
13686,c,0.56
13687,c,0.51
13688,a,0.46
13689,b,0.63
13690,d,0.54
13691,d,0.52
13692,d,0.55
13693,d,0.47
13694,c,0.51
13695,d,0.6
13696,b,0.54
13697,a,0.47
13698,b,0.52
13699,d,0.42
13700,c,0.51
13701,a,0.49
13702,b,0.53
13703,b,0.56
13704,d,0.49
13705,d,0.65
13706,a,0.63
13707,d,0.5
13708,b,0.54
13709,c,0.59
13710,d,0.59
13711,c,0.52
13712,c,0.64
13713,c,0.49
13714,b,0.63
13715,d,0.54
13716,b,0.52
13717,a,0.51
13718,a,0.55
13719,b,0.53
13720,c,0.57
13721,d,0.48
13722,c,0.58
13723,a,0.51
13724,d,0.58
13725,b,0.58
13726,b,0.52
13727,a,0.47
13728,d,0.55
13729,a,0.49
13730,c,0.53
13731,d,0.58
13732,b,0.49
13733,a,0.58
13734,c,0.61
13735,c,0.52
13736,d,0.43
13737,a,0.55
13738,c,0.51
13739,c,0.49
13740,d,0.61
13741,b,0.5
13742,c,0.6
13743,c,0.55
13744,a,0.48
13745,b,0.47
13746,b,0.81
13747,d,0.54
13748,b,0.66
13749,c,0.46
13750,b,0.68
13751,d,0.55
13752,c,0.5
13753,a,0.51
13754,b,0.57
13755,d,0.51
13756,c,0.53
13757,b,0.56
13758,c,0.54
13759,b,0.53
13760,b,0.57
13761,d,0.46
13762,b,0.53
13763,a,0.47
13764,c,0.53
13765,c,0.56
13766,b,0.51
13767,d,0.55
13768,b,0.51
13769,a,0.52
13770,c,0.57
13771,a,0.73
13772,a,0.59
13773,d,0.56
13774,a,0.64
13775,b,0.54
13776,a,0.57
13777,a,0.49
13778,c,0.52
13779,b,0.53
13780,b,0.6
13781,c,0.51
13782,a,0.53
13783,b,0.57
13784,d,0.45
13785,d,0.52
13786,d,0.49
13787,c,0.49
13788,c,0.53
13789,a,0.5
13790,c,0.59
13791,c,0.47
13792,c,0.59
13793,a,0.51
13794,a,0.5
13795,c,0.51
13796,c,0.55
13797,d,0.57
13798,d,0.5
13799,d,0.57
13800,d,0.56
13801,c,0.56
13802,d,0.52
13803,b,0.54
13804,b,0.47
13805,a,0.48
13806,d,0.53
13807,c,0.56
13808,d,0.55
13809,c,0.54
13810,b,0.52
13811,b,0.57
13812,a,0.62
13813,b,0.49
13814,d,0.47
13815,d,0.57
13816,d,0.51
13817,d,0.5
13818,d,0.5
13819,b,0.46
13820,a,0.51
13821,c,0.54
13822,b,0.52
13823,d,0.47
13824,a,0.55
13825,a,0.53
13826,c,0.5
13827,a,0.52
13828,c,0.53
13829,a,0.56
13830,b,0.56
13831,a,0.58
13832,c,0.42
13833,d,0.55
13834,d,0.47
13835,d,0.52
13836,c,0.44
13837,d,0.59
13838,c,0.54
13839,c,0.57
13840,d,0.54
13841,c,0.54
13842,c,0.52
13843,d,0.46
13844,b,0.63
13845,d,0.46
13846,d,0.51
13847,b,0.52
13848,a,0.57
13849,b,0.56
13850,c,0.58
13851,d,0.59
13852,a,0.54
13853,b,0.54
13854,a,0.51
13855,c,0.67
13856,b,0.54
13857,d,0.59
13858,c,0.58
13859,b,0.58
13860,d,0.61
13861,a,0.56
13862,b,0.53
13863,a,0.54
13864,a,0.59
13865,d,0.48
13866,a,0.55
13867,d,0.6
13868,c,0.52
13869,c,0.52
13870,b,0.51
13871,a,0.54
13872,d,0.54
13873,a,0.56
13874,b,0.55
13875,a,0.54
13876,c,0.57
13877,a,0.53
13878,c,0.63
13879,b,0.59
13880,c,0.53
13881,c,0.55
13882,c,0.53
13883,b,0.56
13884,a,0.54
13885,a,0.52
13886,c,0.58
13887,b,0.59
13888,b,0.52
13889,a,0.53
13890,c,0.5
13891,d,0.46
13892,c,0.48
13893,a,0.47
13894,d,0.54
13895,c,0.55
13896,c,0.56
13897,d,0.47
13898,c,0.61
13899,c,0.54
13900,a,0.45
13901,d,0.5
13902,d,0.51
13903,a,0.54
13904,b,0.51
13905,a,0.55
13906,c,0.57
13907,b,0.58
13908,a,0.54
13909,d,0.54
13910,b,0.55
13911,d,0.46
13912,c,0.52
13913,a,0.53
13914,a,0.54
13915,d,0.67
13916,c,0.59
13917,a,0.59
13918,b,0.58
13919,c,0.6
13920,a,0.5
13921,d,0.56
13922,a,0.52
13923,a,0.53
13924,b,0.53
13925,d,0.54
13926,c,0.47
13927,c,0.52
13928,c,0.5
13929,c,0.6
13930,b,0.46
13931,a,0.62
13932,b,0.58
13933,a,0.51
13934,d,0.58
13935,a,0.45
13936,b,0.5
13937,b,0.47
13938,b,0.5
13939,b,0.51
13940,c,0.47
13941,b,0.47
13942,d,0.58
13943,c,0.51
13944,b,0.54
13945,d,0.65
13946,a,0.8
13947,b,0.57
13948,c,0.47
13949,c,0.4
13950,a,0.52
13951,b,0.45
13952,d,0.47
13953,b,0.56
13954,a,0.53
13955,a,0.43
13956,d,0.52
13957,a,0.44
13958,b,0.56
13959,a,0.48
13960,d,0.47
13961,c,0.53
13962,c,0.55
13963,c,0.54
13964,d,0.48
13965,a,0.53
13966,d,0.63
13967,b,0.49
13968,a,0.44
13969,c,0.51
13970,c,0.54
13971,d,0.64
13972,d,0.54
13973,b,0.54
13974,a,0.48
13975,a,0.49
13976,c,0.53
13977,b,0.52
13978,c,0.45
13979,b,0.44
13980,c,0.43
13981,a,0.45
13982,d,0.58
13983,b,0.57
13984,d,0.5
13985,a,0.54
13986,c,0.5
13987,d,0.55
13988,b,0.59
13989,d,0.54
13990,a,0.51
13991,a,0.51
13992,b,0.53
13993,c,0.55
13994,c,0.52
13995,d,0.53
13996,b,0.59
13997,a,0.47
13998,b,0.53
13999,b,0.44
14000,d,0.61
14001,b,0.54
14002,b,0.48
14003,c,0.53
14004,a,0.58
14005,a,0.51
14006,c,0.52
14007,b,0.49
14008,c,0.55
14009,d,0.53
14010,b,0.54
14011,a,0.48
14012,d,0.55
14013,a,0.63
14014,d,0.54
14015,b,0.55
14016,d,0.45
14017,b,0.54
14018,b,0.47
14019,b,0.56
14020,d,0.5
14021,c,0.61
14022,b,0.52
14023,d,0.56
14024,c,0.55
14025,b,0.51
14026,b,0.46
14027,c,0.61
14028,d,0.56
14029,c,0.57
14030,a,0.59
14031,c,0.54
14032,d,0.54
14033,b,0.48
14034,d,0.55
14035,d,0.59
14036,d,0.53
14037,d,0.52
14038,c,0.54
14039,b,0.53
14040,b,0.56
14041,a,0.51
14042,a,0.53
14043,d,0.64
14044,c,0.48
14045,b,0.57
14046,c,0.53
14047,c,0.56
14048,a,0.68
14049,c,0.53
14050,a,0.52
14051,a,0.56
14052,d,0.47
14053,c,0.5
14054,c,0.55
14055,d,0.47
14056,b,0.52
